"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","IsPasswordStrong_NullOrEmptyPassword_ReturnsFalse","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.PasswordPolicyTests","Backend.UnitTests.PasswordPolicyTests",""
"","3","IsPasswordStrong_LengthIs8ButNoDigit_ReturnsFalse","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.PasswordPolicyTests","Backend.UnitTests.PasswordPolicyTests",""
"","9","DomainModels_SettersAndGetters_WorkCorrectly","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.DomainModelTests","Backend.UnitTests.DomainModelTests",""
"","14","GetApplication_ReturnsNotFound_WhenInvalidId","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.TestApplicationsControllerTests","Backend.UnitTests.TestApplicationsControllerTests",""
"","29","CreateTestRun_AddsRunToDatabase","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.TestRunsControllerTests","Backend.UnitTests.TestRunsControllerTests",""
"","0","IsPasswordStrong_PasswordShorterThan8_ReturnsFalse","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.PasswordPolicyTests","Backend.UnitTests.PasswordPolicyTests",""
"","40","TestScenariosController_CreateAndGet_Works","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.RemainingControllersTests","Backend.UnitTests.RemainingControllersTests",""
"","147","TestConfigurationsController_CreateAndGet_Works","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.RemainingControllersTests","Backend.UnitTests.RemainingControllersTests",""
"","8","DeleteApplication_RemovesFromDatabase","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.TestApplicationsControllerTests","Backend.UnitTests.TestApplicationsControllerTests",""
"","6","GetTestRuns_ReturnsList","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.TestRunsControllerTests","Backend.UnitTests.TestRunsControllerTests",""
"","6","GetApplications_ReturnsAllItems","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.TestApplicationsControllerTests","Backend.UnitTests.TestApplicationsControllerTests",""
"","15","CreateApplication_AddsToDatabase","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.TestApplicationsControllerTests","Backend.UnitTests.TestApplicationsControllerTests",""
"","599","EmulatorConfigurationsController_FullCrud_Works","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.RemainingControllersTests","Backend.UnitTests.RemainingControllersTests",""
"","0","IsPasswordStrong_ValidPassword_ReturnsTrue","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.PasswordPolicyTests","Backend.UnitTests.PasswordPolicyTests",""
"","1","DTOs_SettersAndGetters_WorkCorrectly","","2026-05-05","passed","2026-05-05","","Backend.UnitTests.DomainModelTests","Backend.UnitTests.DomainModelTests",""
